1,unmittelbare Anstellung,Q506999,,Q-1770 Person,1778,1779,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
2124,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Johann Christian Zschille,Johann Christian Zschille,unverändert,Schulmeister zu Neuenmörbitz,,,,,,,,,,,,,,,,
2125,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Carl Gottlob Schumann,Carl Gottlob Schumann,unverändert,Pfarrer zu Lohma an der Leina,,,,,,,,,,,,,,,,
2126,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Johann Christian Götze,Johann Christian Götze,unverändert,Schulmeister zu Lohma an der Leina,,,,,,,,,,,,,,,,
2127,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Johann Philipp Ehrlich,Johann Philipp Ehrlich,unverändert,"Pfarrer zu Niederwiera und dem Filial Neuekirchen, so halbGräflich Schönbl",,,,,,,,,,,,,,,,
2128,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Christian Friedrich Richter,Christian Friedrich Richter,unverändert,Schulmeister zu Niederwiera ,,,,,,,,,,,,,,,,
2129,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,108,,Johann Gottlieb Körner,Johann Gottlieb Körner,unverändert,Pfarrer zu Oberarnsdorf,,,,,,,,,,,,,,,,
2130,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Georg Engert,Georg Engert,unverändert,Schulmeister zu Oberarnsdorf,,,,,,,,,,,,,,,,
2131,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Carl Ludwig Brem,Carl Ludwig Brem,unverändert,Pfarrer zu Ponitz,,,,,,,,,,,,,,,,
2132,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Johann Nicolaus Kraußner,Johann Nicolaus Kraußner,unverändert,Schulmeister zu Ponitz,,,,,,,,,,,,,,,,
2133,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Christian Heinrich Hase,Christian Heinrich Hase,unverändert,"Pfarrer zu Rußdorf, Filial von der Chursächßl. Marter Kaufungen",,,,,,,,,,,,,,,,
2134,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Samuel Richter,Samuel Richter,unverändert,"Schulmeister zu Rußdorf, Filial von der Chursächßl. Marter Kaufungen",,,,,,,,,,,,,,,,
2135,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Samuel Bergmann,Samuel Bergmann,unverändert,"Substitut zu Rußdorf, Filial von der Chursächßl. Marter Kaufungen",,,,,,,,,,,,,,,,
2136,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,M. David Friedrich Ettler,M. David Friedrich Ettler,unverändert,"Pfarrer zu Wolperndorf und dem Filial Garbisdorf, Göpfsdorf,",,,,,,,,,Magister,,,,,,,
2137,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Christian August Meyer,Christian August Meyer,unverändert,Schulmeister zu Wolperndorf ,,,,,,,,,,,,,,,,
2138,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Daniel Köhler,Daniel Köhler,unverändert,Schulmeister zu Göpfsdorf,,,,,,,,,,,,,,,,
2139,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Johann Friedrich Spillner,Johann Friedrich Spillner,unverändert,Pfarrer zu Zürchau und dem Filial Malciß,,,,,,,,,,,,,,,,
2140,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,,Wilhelm Schober,neu,Substantiv,,,,,,,,,,,Wilhelm,,,,,Schober
2141,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Gößnitz,,,,Gottlieb Rohn,Gottlieb Rohn,unverändert,Schulmeister zu Zürchau ,,,,,,,,,,,,,,,,
2142,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,Q41766,Friedrich Wilhelm Streit,Friedrich Wilhelm Streit,unverändert,Superintendent der Stadt Ronneburg,,,,,,,,,,,,,,,,
2143,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Gottfried Klotz,Johann Gottfried Klotz,unverändert,Arci-Diaconus,Pfarrer auf dem Filial Raitzhayn,,,,,,,,,,,,,,,
2144,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Christoph Wilhelm Siefarth,Christoph Wilhelm Siefarth,unverändert,Diaconus der Stadt Ronneburg,,,,,,,,,,,,,,,,
2145,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Gottlob Lebrecht Gruner,Gottlob Lebrecht Gruner,unverändert,Rector der Stadt Ronneburg,,,,,,,,,,,,,,,,
2146,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,,Heinrich Theophilus Meister,neu,Conrector,,,,,,,,,,,Heinrich,Theophilus,,,,Meister
2147,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Christian Siegmund Apel,Christian Siegmund Apel,unverändert,Cantor,,,,,,,,,,,,,,,,
2148,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Michael Kiesewetter,Johann Michael Kiesewetter,unverändert,Colaborator,,,,,,,,,,,,,,,,
2149,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Benjamin Schumann,Johann Benjamin Schumann,unverändert,Organist,Mägdelein-Schulmeister,,,,,,,,,,,,,,,
2150,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Friedrich August Raumann,Friedrich August Raumann,unverändert,Kirchner,,,,,,,,,,,,,,,,
2151,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,,Christian Helmert,neu,Kirchenvorsteher,Kastenvorsteher,,,,,,,,,,Christian,,,,,Helmert
2152,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,,Heinrich Wilhelm Böhmer,neu,Schulmeister auf dem Filial Raitzhayn,,,,,,,,,,,Heinrich,Wilhelm,,,,Böhmer
2153,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Heinrich Ehrhard Michaelis,Heinrich Ehrhard Michaelis,unverändert,"Pfarrer zu Corbußen und den Filialen Mückern, Waßwitz, Geraisch",,,,,,,,,,,,,,,,
2154,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Andreas Back,Johann Andreas Back,unverändert,Schulmeister zu Corbußen ,,,,,,,,,,,,,,,,
2155,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Gottfried Pleißner,Johann Gottfried Pleißner,unverändert,Pfarrer zu Gauern,,,,,,,,,,,,,,,,
2156,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Philipp Marquard,Johann Philipp Marquard,unverändert,Schulmeister zu Gauern,,,,,,,,,,,,,,,,
2157,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,M. Christoph Ludwig Grießhammer,M. Christoph Ludwig Grießhammer,unverändert,"Pfarrer zu Großenstein und den Filialen Baldenhayn, Raundorf, Reußlich",,,,,,,,,Magister,,,,,,,
2158,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,,Christoph Theodor Lindner,neu,Cantor,,,,,,,,,,,Christoph,Theodor,,,,Lindner
2159,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Christian Friedrich Oertel,Johann Gottlob August Glück,neu,Pfarrer zu Haselbach,,,,,,,,,,,Johann,Gottlob,August,,,Glück
2160,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Heinrich Gottlieb Keil,Heinrich Gottlieb Keil,unverändert,Schulmeister zu Haselbach,,,,,,,,,,,,,,,,
2161,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,,Christian Daniel Friedrich,neu,Pfarrer zu Kauern,,,,,,,,,,,Christian,Daniel,,,,Friedrich
2162,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Gottlob Raumann,Johann Gottlob Raumann,unverändert,Schulmeister  zu Kauern,,,,,,,,,,,,,,,,
2163,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Christoph Georg Retter,Johann Christoph Georg Retter,unverändert,Pfarrer zu Linda,,,,,,,,,,,,,,,,
2164,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Christian Heinrich Reudecker,Christian Heinrich Reudecker,unverändert,Substitut zu Linda,,,,,,,,,,,,,,,,
2165,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Friedrich Herrmann,Johann Friedrich Hermann,anderer FN,Schulmeister  zu Linda,,,,,,,,,,,,,,,,
2166,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,M. Heinrich Theodor Rolle,M. Heinrich Theodor Rolle,unverändert,Pfarrer zu Mannichswalda,,,,,,,,,Magister,,,,,,,
2167,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Peter Obenauf,Johann Peter Obenauf,unverändert,Schulmeister zu Mannichswalda,,,,,,,,,,,,,,,,
2168,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Cristian Friedrich Pilling,Cristian Friedrich Pilling,unverändert,Substitut zu Mannichswalda,,,,,,,,,,,,,,,,
2169,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Ernst Richter,Johann Ernst Richter,unverändert,Pfarrer zu Mosen,,,,,,,,,,,,,,,,
2170,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Adam Friedrich Port,Adam Friedrich Port,unverändert,Schulmeister zu Mosen,,,,,,,,,,,,,,,,
2171,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,M. Christian Gotthilf Schönfeld,M. Christian Gotthilf Schönfeld,unverändert,Pfarrer zu Nischwitz und den Filialen Joniswalde und Heuckewalde,,,,,,,,,Magister,,,,,,,
2172,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Carl Friedrich Köhler,Carl Friedrich Köhler,anderer FN,Schulmeister zu Nischwitz ,,,,,,,,,,,,,,,,
2173,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Martin Ludwig Heinicke,Martin Ludwig Heinicke,unverändert,Pfarrer zu Paitzdorf und dem Filial Mannsdorf,,,,,,,,,,,,,,,,
2174,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Christoph Friedrich Zeigermann,Christoph Friedrich Zeigermann,unverändert,Schulmeister zu Paitzdorf ,,,,,,,,,,,,,,,,
2175,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann August Gruner,Johann August Gruner,unverändert,Substitut zu Paitzdorf,,,,,,,,,,,,,,,,
2176,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Friedrich Ramshorn,Johann Friedrich Ramshorn,unverändert,Pfarrer zu Reust,,,,,,,,,,,,,,,,
2177,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,,Carl Heinrich Traugott Heße,unverändert,Schulmeister zu Reust,,,,,,,,,,,,,,,,
2178,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Heinrich Burgold,Johann Heinrich Burgold,unverändert,Pfarrer zu Roschütz,,,,,,,,,,,,,,,,
2179,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Heinrich Engewald,Johann Heinrich Engewald,unverändert,Schulmeister zu Roschütz,,,,,,,,,,,,,,,,
2180,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Tobias Götze,Tobias Götze,unverändert,Substitut zu Roschütz,,,,,,,,,,,,,,,,
2181,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Andreas Macherauch,Johann Andreas Macherauch,unverändert,Pfarrer zu Röpfen und dem Filial Hayn,,,,,,,,,,,,,,,,
2182,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Heinrich Wilhelm Böhmer,Heinrich Wilhelm Böhme,anderer FN,Schulmeister zu Röpfen ,,,,,,,,,,,,,,,,
2183,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Christian  Johann Theodor Köpke,Christian  Johann Theodor Köpke,unverändert,Pfarrer zu Röpfen und den Filialen Braunswalde und Vogelgesang,,,,,,,,,,,,,,,,
2184,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Gottfried Franke,Gottfried Franke,unverändert,Schulmeister zu Röpfen  ,,,,,,,,,,,,,,,,
2185,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Johann Gottfried Koch,Johann Gottfried Koch,unverändert,Pfarrer zu Schmirchau,,,,,,,,,,,,,,,,
2186,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Ronneburg,,,,Salomon Kuhnst,Salomon Kuhnst,unverändert,Schulmeister zu Schmirchau,,,,,,,,,,,,,,,,
2187,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,,M. Johann Christian  Matheß,neu,Superintendent,,,,,,,,,Magister,,Johann,Christian ,,,,Matheß
2188,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,110,,Johann Friedrich Rost,Johann Friedrich Rost,unverändert,Arci-Diaconus der Stadt Eisenberg,,,,,,,,,,,,,,,,
2189,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Georg Brendel,Johann Georg Brendel,unverändert,Diaconus der Stadt Eisenberg und auf dem Filial Saasa,,,,,,,,,,,,,,,,
2190,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Christian Oschatz,Johann Christian Oschatz,unverändert,Schloß-Collaborator,,,,,,,,,,,,,,,,
2191,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Georg Gabriel Grieshammer,Georg Gabriel Grieshammer,unverändert,Rector ,,,,,,,,,,,,,,,,
2192,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann August Schleicher,Johann August Schleicher,unverändert,Conrector,,,,,,,,,,,,,,,,
2193,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Christian Friedrich Sachße,Christian Friedrich Sachße,unverändert,Cantor,,,,,,,,,,,,,,,,
2194,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Friedrich Hertel,Johann Friedrich Hertel,unverändert,Colleg. IV.,,,,,,,,,,,,,,,,
2195,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Friedrich Gotthard Krause,Johann Friedrich Gotthard Krause,unverändert,Colleg. V.,,,,,,,,,,,,,,,,
2196,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Friedrich Dammrich,Johann Friedrich Dammrich,unverändert,Schulmeister zu Saala,,,,,,,,,,,,,,,,
2197,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Christian Börner,Johann Christian Börner,unverändert,Mägdelein Schulmeister zu Eisenberg,,,,,,,,,,,,,,,,
2198,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Christian Friedrich Streicher,Christian Friedrich Streicher,unverändert,Pfarrer zu Aue und dem Filial  Seidelwitz,,,,,,,,,,,,,,,,
2199,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Gottlieb Graf,Gottlieb Graf,unverändert,Schulmeister zu Aue,,,,,,,,,,,,,,,,
2200,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Carl Heinrich Theophilius Trautmann,Carl Heinrich Theophilius Trautmann,unverändert,Pfarrer zu Buchheim,,,,,,,,,,,,,,,,
2201,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Emanuel Avianus,Johann Emanuel Avianus,unverändert,Schulmeister zu Buchheim,,,,,,,,,,,,,,,,
2202,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Christoph Heinrich Mathesius,Christoph Heinrich Mathesius,unverändert,Pfarrer zu Casekirchen und den Filiaen Köckenitsch und Uttenbach,,,,,,,,,,,,,,,,
2203,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Georg Merckel,Johann Georg Merkel,anderer FN,Schulmeister zu Casekirchen ,,,,,,,,,,,,,,,,
2204,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Jacob Hedschold ,Jacob Hedschold ,unverändert,Pfarrer zu Closterlausnitz und den Filial Trautenhayn,,,,,,,,,,,,,,,,
2205,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Carl Christian Gabler,Carl Christian Gabler,unverändert,Schulmeister zu Closterlausnitz ,,,,,,,,,,,,,,,,
2206,,,,,Josef Thiel,Josef Thiel,unverändert,Schulmeister zu Trautenhayn ,,,,,,,,,,,,,,,,
2207,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Christian Lebrecht Seidel,Johann Christian Lebrecht Seidel,andere Qualli,Pfarrer zu Erzdorf und den Filial Raude,,,,,,,,,,,,,,,,
2208,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Friedrich August Lebrecht Seidel,Friedrich August Lebrecht Seidel,andere Qualli,Substitut zu Erzdorf,,,,,,,,,,,,,,,,
2209,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Christoph Friedrich Avianus,Christoph Friedrich Avianus,unverändert,Schulmeister zu Erzdorf,,,,,,,,,,,,,,,,
2210,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Christian Friedrich Apel,Christian Friedrich Apel,unverändert,Pfarrer zu Graitzschen an der Gleissa,,,,,,,,,,,,,,,,
2211,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Joseph Kneusel,Joseph Kneusel,unverändert,Schulmeister zu Graitzschen an der Gleissa,,,,,,,,,,,,,,,,
2212,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Heinrich Schneider,Johann Heinrich Schneider,unverändert,Pfarrer zu Haynspitz und dem Filial Rauschitz,,,,,,,,,,,,,,,,
2213,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Heinrich Wetzel,Johann Heinrich Wetzel,unverändert,Schulmeister zu Haynspitz ,,,,,,,,,,,,,,,,
2214,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Caspar Friedrich Frölich,Caspar Friedrich Frölich,unverändert,Pfarrer zu Hermaßdorf und den Filialen Oberndorf und Reichenbach,,,,,,,,,,,,,,,,
2215,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Carl Teophilus Heuchling,Carl Teophilus Heuchling,unverändert,Schulmeister zu Hermaßdorf  ,,,,,,,,,,,,,,,,
2216,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Gottlieb Schade,Johann Gottlieb Schade,unverändert,Schulmeister zu Oberndorf ,,,,,,,,,,,,,,,,
2217,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann August Ludwig,Johann August Ludwig,unverändert,Schulmeister zu Reichenbach,,,,,,,,,,,,,,,,
2218,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Christian Gottliob Leonard,Christian Gottliob Leonard,unverändert,Pfarrer zu Hohendorf,,,,,,,,,,,,,,,,
2219,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Simon Krause,Johann Simon Krause,unverändert,Schulmeister zu Hohendorf,,,,,,,,,,,,,,,,
2220,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Christian Gottlob Kyber,Christian Gottlob Kyber,unverändert,Pfarrer zu Königshofen und dem Filial Gösen,,,,,,,,,,,,,,,,
2221,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,111,,Johann Conrad Haase,Johann Conrad Haase,unverändert,Schulmeister zu Königshofen ,,,,,,,,,,,,,,,,
2222,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Christian Gottliieb Hertel,Christian Gottliieb Hertel,unverändert,"Pfarrer zu Kraftsdorf und den Filialen Harpersdorf und Niederndorf, Reußl",,,,,,,,,,,,,,,,
2223,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Wolfgang Müller,Johann Wolfgang Müller,unverändert,Schulmeister zu Kraftsdorf ,,,,,,,,,,,,,,,,
2224,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Gottlfried Büchel,Johann Gottlfried Büchel,unverändert,Schulmeister zu Harpersdorf ,,,,,,,,,,,,,,,,
2225,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Christian Welcker,Johann Christian Welcker,unverändert,Pfarrer zu Molau und dem Filial Thierschneck,,,,,,,,,,,,,,,,
2226,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Philipp Stark,Johann Philipp Stark,unverändert,Schulmeister zu Molau,,,,,,,,,,,,,,,,
2227,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Anton Christoph Zeidler,Anton Christoph Zeidler,unverändert,Pfarrer zu Niedschutz und dem Filial Boblas,,,,,,,,,,,,,,,,
2228,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Carl Retzel,Carl Retzel,unverändert,Schulmeister zu Niedschutz ,,,,,,,,,,,,,,,,
2229,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Samuel Bergmann,Johann Samuel Bergmann,unverändert,Pfarrer zu Petersberg und zu Tümschütz,,,,,,,,,,,,,,,,
2230,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Christian Gottliob Vogel,Christian Gottllob Vogel,unverändert,Schulmeister zu Petersberg ,,,,,,,,,,,,,,,,
2231,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,,Johann Gottllob Großmann,neu,Pfarrer zu Prießmcz und dem Filial Janisroda,,,,,,,,,Magister,,Johann,Gottllob,,,,Großmann
2232,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Gottfried Baum,Johann Gottfried Baum,unverändert,Schulmeister zu Prießmcz ,,,,,,,,,,,,,,,,
2233,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Ernst Hertel,Johann Ernst Hertel,unverändert,"Pfarrer zu Rüdersdorf und den Filialen Pörsdorf halb Hartmannsdorf, Reußl. Reinhardsdorf",,,,,,,,,,,,,,,,
2234,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Gottfried Ziegler,Johann Gottfried Ziegler,andere Qualli,Schulmeister zu Rüdersdorf ,,,,,,,,,,,,,,,,
2235,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Ernst Friedrich Böttger,Ernst Friedrich Böttger,andere Qualli,Pfarrer zu Serba,Adjunctus,,,,,,,,,,,,,,,
2236,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,,Christian Friedrich Brendel,neu,Schulmeister zu Serba,,,,,,,,,,,Christian,Friedrich,,,,Brendel
2237,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Christian Friedrich Schatz,Christian Friedrich Schatz,unverändert,"Pfarrer zu Geifahrthsdorf und dem Filial Caschwitz, Reußl.",,,,,,,,,,,,,,,,
2238,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Ernst Daniel Gerstenberg,Ernst Daniel Gerstenberg,neu,Schulmeister zu Geifahrthsdorf ,,,,,,,,,,,,,,,,
2239,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Gottfried Schauer,Johann Gottfried Schauer,unverändert,Schulmeister zu Caschwitz,,,,,,,,,,,,,,,,
2240,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Leberecht  Johann Gottflieb Schein,Leberecht  Johann Gottflieb Schein,unverändert,"Pfarrer zu Bobeck, Schleifreissen, Filial vom Weimarschen Dorf Bobeck ",,,,,,,,,,,,,,,,
2241,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,Johann Adam Röller,Johann Adam Röller,unverändert,Schulmeister zu Schleifreissen,,,,,,,,,,,,,,,,
2242,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,,Christian Heinrich Lente,neu,Pfarrer zu Walperhayn und dem Filial Thiememdorf,,,,,,,,,,,Christian,Heinrich,,,,Lente
2243,Land -Geistlichkeit im Herzogtum Altenburg Superintendentur Eisenberg,,,,,Gottfried Thiele,neu,Schulmeister zu Walperhayn,,,,,,,,,,,Gottfried,,,,,Thiele
2244,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Camburg,,,,,Gottfried Leberecht Kluge,neu,Schulmeister zu Thiememdorf,,,,,,,,,,,Gottfried,Leberecht,,,,Kluge
2245,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Camburg,,,,,Johann Heinrich Meißner,neu,Adj,,,,,,,,,,,Johann,Heinrich,,,,Meißner
2246,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Camburg,,,,Johann Christian Gichwend,Johann Christian Gchwend,anderer FN,Diconus zur Stadt Camburg,,,,,,,,,,,,,,,,
2247,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Camburg,,112,,Johann Christian Hofmann,Johann Christian Hofmann,unverändert,Rector zur Stadt Camburg,,,,,,,,,,,,,,,,
2248,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Camburg,,,,Johann Christian Seyfarth,Johann Christian Seyfarth,unverändert,Cantor zur Stadt Camburg,,,,,,,,,,,,,,,,
2249,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Camburg,,,,M. Paul Christian Hedrich,M. Paul Christian Hedrich,unverändert,Pfarrer zu Eckelstädt,,,,,,,,,Magister,,,,,,,
2250,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Camburg,,,,Christian Ernst Hartmann,Christian Ernst Hartmann,unverändert,Schulmeister zu Eckelstädt,,,,,,,,,,,,,,,,
2251,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Camburg,,,,M. Johann Christoph Serling,M. Johann Christoph Serling,unverändert,Pfarrer zu Leißla und dem Filial Göstewitz,,,,,,,,,Magister,,,,,,,
2252,Land -Geistlichkeit im Herzogtum Altenburg Adjunctur Camburg,,,,Christian Gottfried Apfelstiel,Christian Gottfried Apfelstiel,unverändert,Schulmeister zu Leißla ,,,,,,,,,,,,,,,,
